id,name,slug,group,created_at,updated_at,user_id
1,Assadinhos,assadinhos,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
2,Bibiquinha Junior,bibiquinha-junior,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
3,Brasileiro Garantido,brasileiro-garantido,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
4,Cavalcantissimos,cavalcantissimos,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
5,Comes & Bebes,comes-bebes,true,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
6,Contrahouse,contrahouse,true,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
7,Detran Boys,detran-boys,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
8,Dinheiro Infinito Revival,dinheiro-infinito-revival,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
9,Dorgas,dorgas,true,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
10,Epicentro do Bloquinho,epicentro-do-bloquinho,true,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
11,Extradisciplinar,extradisciplinar,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
12,Finalzinho Chegando,finalzinho-chegando,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
13,Garageiros do Abismo,garageiros-do-abismo,true,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
14,Guerrinha,guerrinha,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
15,Horacio,horacio,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
16,Lotéricas RJ,lotericas-rj,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
17,O Retiro dos Artistas,o-retiro-dos-artistas,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
18,Pessoalizado,pessoalizado,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
19,Relações Públicas,relacoes-publicas,true,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
20,Repetentes 2008,repetentes-2008,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
21,Séculos Apaixonados,seculos-apaixonados,true,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
22,Sérgio,sergio,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
23,Vamos Desistir,vamos-desistir,false,2024-11-30 14:55:46 UTC,2024-11-30 14:55:46 UTC,1
